"UnitID"	"Experiment ID"	"Bucket ID"	"Experiment State"	"Download Date"	"Experiment Start Time"	"Experiment End Time"	"Image"	"Title"	"Description"	"CTR"	"Clicks"	"Impressions"	"MAB Link"	"Winning Variant"
"87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"1672679"	"6013659"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:42:36 PM EDT"	"7/6/2025, 8:42:35 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/29908ba0-5906-11f0-bdff-cced4f02d815"	"Helipads, cinemas, and saunas: Inside billionaires' obsession with superyachts"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"true"
"87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"1672679"	"6013658"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:42:36 PM EDT"	"7/6/2025, 8:42:35 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/29908ba0-5906-11f0-bdff-cced4f02d815"	"Billionaires keep trading up for bigger and bigger superyachts"	""	""	""	"3"	"https://mab-ext-aws.data.yahoo.com/mab/analytics/87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"false"
"87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"1672679"	"6013657"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:42:36 PM EDT"	"7/6/2025, 8:42:35 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/29908ba0-5906-11f0-bdff-cced4f02d815"	"Why the world's superyachts are getting bigger and bigger"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/87e9e28e-0e60-336f-ac32-f6bcd038a6a2"	"false"
"935c830e-3bb4-3b33-9a94-897cd4716ccd"	"1672672"	"6013634"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:30:59 PM EDT"	"7/6/2025, 8:30:57 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/8c626d00-5903-11f0-b499-28c25801085a"	"If your space is cluttered but cozy, you might already be living the messy girl vibe"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/935c830e-3bb4-3b33-9a94-897cd4716ccd"	"true"
"935c830e-3bb4-3b33-9a94-897cd4716ccd"	"1672672"	"6013633"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:30:59 PM EDT"	"7/6/2025, 8:30:57 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/8c626d00-5903-11f0-b499-28c25801085a"	"The 'messy girl' home decor is taking over — and it's not just for women"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/935c830e-3bb4-3b33-9a94-897cd4716ccd"	"false"
"935c830e-3bb4-3b33-9a94-897cd4716ccd"	"1672672"	"6013632"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:30:59 PM EDT"	"7/6/2025, 8:30:57 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/652fbf40-5902-11f0-ac7f-ce2d81ff910f"	"If your space is cluttered but cozy, you might already be living the 'messy girl' vibe"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/935c830e-3bb4-3b33-9a94-897cd4716ccd"	"false"
"935c830e-3bb4-3b33-9a94-897cd4716ccd"	"1672672"	"6013631"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:30:59 PM EDT"	"7/6/2025, 8:30:57 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/652fbf40-5902-11f0-ac7f-ce2d81ff910f"	"The 'messy girl' home decor is taking over — and it's not just for women"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/935c830e-3bb4-3b33-9a94-897cd4716ccd"	"false"
"935c830e-3bb4-3b33-9a94-897cd4716ccd"	"1672672"	"6013635"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:30:59 PM EDT"	"7/6/2025, 8:30:57 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/8c626d00-5903-11f0-b499-28c25801085a"	"The aesthetic once mocked as messy is now 2025's biggest design flex"	""	""	""	"5"	"https://mab-ext-aws.data.yahoo.com/mab/analytics/935c830e-3bb4-3b33-9a94-897cd4716ccd"	"false"
"b189e47d-3efc-39cc-9ca1-2ee9053a2939"	"1672670"	"6013625"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:29:22 PM EDT"	"7/6/2025, 8:29:21 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/a9ea5a00-5902-11f0-bfb7-ac0a4bf41ea8"	"Oregon jury convicts former NBA player Ben McLemore of raping incapacitated woman"	""	""	""	"4"	"https://mab-ext-aws.data.yahoo.com/mab/analytics/b189e47d-3efc-39cc-9ca1-2ee9053a2939"	"true"
"b189e47d-3efc-39cc-9ca1-2ee9053a2939"	"1672670"	"6013624"	"COMPLETED"	"7/6/2025, 11:50:13 PM"	"7/4/2025, 2:29:22 PM EDT"	"7/6/2025, 8:29:21 PM EDT"	"https://s.yimg.com/os/creatr-uploaded-images/2025-07/a9ea5a00-5902-11f0-bfb7-ac0a4bf41ea8"	"Former NBA player Ben McLemore found guilty of rape and sexual assault in 2021"	""	""	""	""	"https://mab-ext-aws.data.yahoo.com/mab/analytics/b189e47d-3efc-39cc-9ca1-2ee9053a2939"	"false"
